text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @pashapashkov86: Please vote for @KateFlannery and I, so proud of her she fights harder and harder every week💜 Text KATE to 21523 or go…",FALSE,0,NA,2019-10-22T00:56:54Z,FALSE,NA,1186446296061755393,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",MichaelReaganJr,19,TRUE,FALSE,NA,NA
RT @millerxtoria: KEL AND WITNEY NEVER FAIL TO AMAZE ME 🤩 #DWTS,FALSE,0,NA,2019-10-22T00:56:54Z,FALSE,NA,1186446294761512960,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",enriquezmeg,15,TRUE,FALSE,NA,NA
Beautiful! Would love to see the #DWTSLiveTour someday! #DWTS,FALSE,0,NA,2019-10-22T00:56:53Z,FALSE,NA,1186446291850747905,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",ampincivero,0,FALSE,FALSE,NA,NA
RT @seanspicer: Thank you for all of the support. I’m up 7th on @DancingABC tonight.  Please vote right at 8pm ET 20 times. Text SEAN 10 ti…,FALSE,0,NA,2019-10-22T00:56:52Z,FALSE,NA,1186446288415416320,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",HighlandReal,705,TRUE,FALSE,NA,NA
RT @LonnieM73146468: Dancing With The Stars - Karamo &amp; Jenna!!!! @DancingABC @ABCNetwork @JennaJohnson #DWTS #DancingWithTheStars #ABC #Dan…,FALSE,0,NA,2019-10-22T00:56:50Z,FALSE,NA,1186446279171362817,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",quartnee_9953,1,TRUE,FALSE,NA,NA
RT @witneycarsonfan: WITNEY SNAPPING! #dwts,FALSE,0,NA,2019-10-22T00:56:50Z,FALSE,NA,1186446277787160576,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lovedwtsqueens,1,TRUE,FALSE,NA,NA
Who’s ready for the #DWTS Live Tour? 🙌 https://t.co/p6wLfTdzth,FALSE,332,NA,2019-10-22T00:56:49Z,FALSE,NA,1186446273005539329,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",DancingABC,49,FALSE,FALSE,NA,NA
"#Dwts Pros Standing ovation.
👏👏👏👏👏",FALSE,0,NA,2019-10-22T00:56:49Z,FALSE,NA,1186446272909238272,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",UFOMJLeader,0,FALSE,FALSE,NA,NA
RT @witneycarsonfan: witney &amp; alan dancing together &gt;&gt; #dwts,FALSE,0,NA,2019-10-22T00:56:48Z,FALSE,NA,1186446269339885569,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lovedwtsqueens,1,TRUE,FALSE,NA,NA
RT @seanspicer: Thanks @DonaldJTrumpJr     Need your votes tonight on @DancingABC Voting is open now.   Cast all 20 votes.  10 by texting S…,FALSE,0,NA,2019-10-22T00:56:47Z,FALSE,NA,1186446264826650625,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",raeganlady,487,TRUE,FALSE,NA,NA
"RT @KateFlannery: Someone in wardrobe has a sense of humor, but this time I kept my top on! #DWTS #TeamThatsWhatKateSaid https://t.co/9W1z6…",FALSE,0,NA,2019-10-22T00:56:47Z,FALSE,NA,1186446264306753536,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mich_meesh,238,TRUE,FALSE,NA,NA
"RT @AllyBrooke: VOTING IS NOW OPEN!!!🚨 HERE WE GOOOOOO!!!

Text ALLY to 21523 to vote or vote online at https://t.co/1Z7HaCbAAn. #DWTS #Tea…",FALSE,0,NA,2019-10-22T00:56:46Z,FALSE,NA,1186446261450354688,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kccruela,381,TRUE,FALSE,NA,NA
Asking for my 8 year old little cousin. #dwts,FALSE,0,NA,2019-10-22T00:56:46Z,FALSE,NA,1186446261123256320,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",prezzyf,0,FALSE,FALSE,NA,NA
RT @seanspicer: Thanks @DonaldJTrumpJr     Need your votes tonight on @DancingABC Voting is open now.   Cast all 20 votes.  10 by texting S…,FALSE,0,NA,2019-10-22T00:56:45Z,FALSE,NA,1186446258354950144,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ThomasLeeDenni1,487,TRUE,FALSE,NA,NA
